No,EntityName,Status,CreatedOn,Action
1,Infocus limited malawi,ACTIVE,2/8/2025 10:52,Approve                             Reject
2,chipasha estate,ACTIVE,2/7/2025 20:35,Approve                             Reject
3,chipasha estate,ACTIVE,2/7/2025 20:30,Approve                             Reject
4,kuyesa,ACTIVE,2/7/2025 19:44,Approve                             Reject
5,Infocus tech ltd,ACTIVE,1/27/2025 4:18,Approve                             Reject
6,Infocus tech,ACTIVE,1/27/2025 3:56,Approve                             Reject
7,Infocus,ACTIVE,1/26/2025 23:21,Approve                             Reject
8,Turnip Enterprises Ltd,ACTIVE,1/21/2025 20:43,Approve                             Reject
